1061,0000000005,q=%40michaelcburgess
438,0000000005,q=%40sengillibrand
810,0000000005,q=%40ellisoncampaign
779,0000000005,q=%40williamkeating
596,0000000005,q=%40jaredpolis
420,0000000005,q=%40royblunt
58,0000000005,q=%40JonHuntsman
808,0000000005,q=%40reperikpaulsen
332,0000000005,q=%40hungergamesdwtc
437,0000000005,q=%40chuckschumer
660,0000000005,q=%40reptomprice
537,0000000005,q=%40askgeorge
356,0000000005,q=%40diannefeinstein
111,0000000005,q=%23cnnelections
34,0000000005,q=%23defeatobama
870,0000000004,q=%40reppeteking
1174,0000000004,q=%23christie
1417,0000000004,q=%40deanheller
471,0000000004,q=%40senalexander
977,0000000004,q=%40repfitzpatrick
954,0000000004,q=%40reptimryan
885,0000000004,q=%40repmichaelgrimm
1177,0000000004,q=%23whcd
959,0000000004,q=%40replankford
2002,0000000004,q=%40chaunceygoss
1684,0000000004,q=%40TeamSheaPorter
1690,0000000004,q=%40barryhinckley
1407,0000000004,q=%23rushplus
1567,0000000004,q=%40grace4ny
361,0000000004,q=%40senblumenthal
1465,0000000004,q=%40bleeforcongress
1435,0000000004,q=%40timkaine
726,0000000004,q=%40leonardboswell
923,0000000004,q=%40patrickmchenry
456,0000000004,q=%40senjeffmerkley
820,0000000004,q=%40congpalazzo
1519,0000000004,q=%23scotus
715,0000000004,q=%40repdanburton
933,0000000004,q=%40jim_jordan
2039,0000000004,q=%40votestewart
713,0000000004,q=%40toddrokita
1928,0000000004,q=%40cantwellpress
1432,0000000004,q=%40gloria4congress
943,0000000004,q=%40dennis_kucinich
944,0000000004,q=%40repkucinich
910,0000000004,q=%40gkbutterfield
652,0000000004,q=%40reprivera
612,0000000004,q=%40john_carney
1827,0000000004,q=%40rickallen2012
851,0000000004,q=%40replobiondo
1025,0000000004,q=%40replouiegohmert
1363,0000000004,q=amtrak
1753,0000000004,q=gary%20oldman
1799,0000000004,q=%40RonBarberAZ
558,0000000004,q=%40reploiscapps
50,0000000004,q=%40RonPaul
1808,0000000004,q=%40kirkadams
555,0000000004,q=%40devinnunes
1049,0000000004,q=%40randyneugebauer
814,0000000004,q=%40chipcravaack
42,0000000004,q=%23decision2012
813,0000000004,q=%40repchipcravaack
1019,0000000004,q=%40marshablackburn
522,0000000004,q=%40reptimgriffin
1000,0000000004,q=%40reptimscott
1066,0000000004,q=%40judgecarter
1711,0000000004,q=%40justinbernier
622,0000000004,q=%40repcliffstearns
1077,0000000004,q=%40reproberthurt
996,0000000004,q=%40davidcicilline
616,0000000004,q=%40rep_southerland
